id,fname,SMILES,first_triplet,first_singlet,dipole_moment
0,electronic_prop_molecule_2704.dat,COc1c(-c2sc(-c3c(SC)ccn3C)cc2C)oc(-c2c(F)cc(-c3scc(F)c3SC)c3nn(C)nc23)c1OC,2.306,2.758,2.79412
1,electronic_prop_molecule_4375.dat,COc1coc(-c2cnc(-c3oc(-c4cc5c(OC)c6c(ccn6C)c(OC)c5n4C)c(OC)c3OC)c3nonc23)c1OC,1.731,2.291,3.93317
2,electronic_prop_molecule_4413.dat,COc1csc(-c2cnc(-c3sc(-c4cc5c(C)c6c(ccn6C)c(C)c5n4C)c(OC)c3OC)c3nsnc23)c1OC,1.806,2.306,2.87271
3,electronic_prop_molecule_2062.dat,COc1cc2c(cc1SC)C(=O)c1c(-c3cc(F)c(-c4cc5sc6c(F)c(-c7[se]c(-c8[se]c(-c9cc(F)c(-c%10cc%11sc%12c(F)coc%12c%11s%10)o9)c9c8C(=O)c8cc(OC)c(SC)cc8C9=O)cc7F)oc6c5s4)o3)[se]c(-c3cc(F)c[se]3)c1C2=O,1.971,2.242,3.52712
4,electronic_prop_molecule_4407.dat,COc1csc(-c2cnc(-c3sc(-c4oc5cc6c(OC)coc6cc5c4OC)c(OC)c3OC)c3nsnc23)c1OC,2.092,2.6,3.13247
5,electronic_prop_molecule_3368.dat,CSc1coc2c(-c3cc(F)c(F)c(F)c3)c3c(SC)c(-c4nccc5nsnc45)oc3c(-c3cc(F)c(F)c(F)c3)c12,2.761,3.185,2.09341
6,electronic_prop_molecule_2076.dat,COc1c(-c2c(C)c(F)c(-c3oc4c(F)csc4c3C)c3nsnc23)n(C)c2cc(-c3sc4c(OC)c5c(C)cn(C)c5c(OC)c4c3C)sc12,2.492,2.769,4.87046
7,electronic_prop_molecule_2710.dat,COc1cc2c(cc1SC)C(=O)c1c(-c3cc(F)c(-c4cc5oc6c(F)coc6c5s4)o3)[se]c(-c3cc(F)c[se]3)c1C2=O,2.254,2.712,1.40466
8,electronic_prop_molecule_678.dat,COc1nc2c(-c3occ(F)c3SC)c(F)c(OC)c(-c3sc(-c4cc(SC)c(-c5c(F)ccn5C)s4)c(F)c3SC)c2nc1C,2.658,3.016,6.39961
9,electronic_prop_molecule_4361.dat,COc1c2sc(-c3ncc(-c4sc5c(OC)c6c(C)c(-c7nccc8nn(C)nc78)sc6c(OC)c5c4C)c4nn(C)nc34)c(C)c2c(OC)c2scc(C)c12,2.272,2.698,1.93347
10,electronic_prop_molecule_1219.dat,COc1cc(-c2c3sccc3c(-c3cc(SC)c(C)o3)c3oc(-c4cc(F)cc5nn(C)nc45)c(OC)c23)n(C)c1F,2.815,3.357,3.92642
11,electronic_prop_molecule_888.dat,CSc1coc(-c2cc(C)c(-c3c(SC)c(C)c(-c4cc5sc6c(F)coc6c5s4)n3C)c3nsnc23)c1F,2.596,3.009,4.09328
12,electronic_prop_molecule_5057.dat,COc1cc(-c2c3oc(-c4ncc(-c5oc6c(-c7cc(OC)c(OC)c(OC)c7)c7c(SC)c(-c8nccc9nsnc89)oc7c(-c7cc(OC)c(OC)c(OC)c7)c6c5SC)c5nsnc45)c(SC)c3c(-c3cc(OC)c(OC)c(OC)c3)c3occ(SC)c23)cc(OC)c1OC,1.885,2.343,3.8899
13,electronic_prop_molecule_2738.dat,COc1cc(-c2nc3c(-c4c(F)c5scc(SC)c5n4C)c(C)c(SC)c(-c4cc5c(s4)c(F)c(-c4c(F)c6c(-c7cc(C)c(C)s7)c7occ(C)c7c(-c7cc(SC)c(SC)n7C)c6n4C)n5C)c3nc2-c2cc(C)cc(C)c2)ccc1C,2.749,3.012,3.77683
14,electronic_prop_molecule_63.dat,COc1cc(-c2c(SC)ccn2C)oc1-c1sc(-c2oc(-c3ccc[se]3)c3c2C(=O)c2c(coc2F)C3=O)cc1F,2.232,2.744,1.38983
15,electronic_prop_molecule_3426.dat,COc1coc2c(-c3ccccc3)c3c(OC)c(-c4nccc5nonc45)oc3c(-c3ccccc3)c12,2.299,3.002,2.61413
16,electronic_prop_molecule_650.dat,CSc1cc2nonc2c(-c2sc3c(C)cn(C)c3c2SC)c1SC,2.737,3.222,4.11184
17,electronic_prop_molecule_4349.dat,COc1coc(-c2cnc(-c3oc(-c4oc5c(F)c6c(OC)coc6c(F)c5c4OC)c(OC)c3OC)c3nonc23)c1OC,1.994,2.613,5.89962
18,electronic_prop_molecule_1231.dat,COc1c(F)csc1-c1c(SC)c(F)c(-c2oc(-c3oc(-c4cccn4C)cc3C)cc2F)c2nonc12,2.102,2.613,2.08655
19,electronic_prop_molecule_1557.dat,COc1cc2c(cc1C)C(=O)c1c(-c3cc(F)c(-c4ccc(-c5occc5OC)s4)s3)[se]c(-c3cc(F)c[se]3)c1C2=O,2.052,2.546,5.91771
20,electronic_prop_molecule_3340.dat,Cc1cc(-c2c3c(C)c(-c4nccc5nsnc45)n(C)c3c(-c3cc(C)c(C)c(C)c3)c3c(C)cn(C)c23)cc(C)c1C,2.111,2.479,1.39991
21,electronic_prop_molecule_136.dat,COc1cc(-c2nc3c(-c4c(F)c5scc(SC)c5n4C)c(C)c(SC)c(-c4cc5c(s4)c(F)c(-c4cc6c([se]4)-c4occc4[SiH2]6)n5C)c3nc2-c2cc(C)cc(C)c2)ccc1C,0.196,1.143,6.93177
22,electronic_prop_molecule_122.dat,COc1c(-c2c(C)c(SC)c(-c3oc4c(C)c(-c5c(OC)c6scc(C)c6n5C)n(C)c4c3C)c3nsnc23)oc2c(F)coc12,2.317,2.693,3.31533
