id,gap_exp,gap_gdbt,label
878,2.537,2.489438483,Train
1571,2.251,2.23506769,Train
1814,2.716,2.754662212,Train
890,2.347,2.232253685,Train
852,2.476,2.388025162,Train
4903,2.239,2.055132466,Train
1364,2.416,2.393041524,Train
3738,2.216,2.290480805,Train
2275,2.835,2.819955794,Train
1442,1.836,1.7919165,Train
847,2.217,1.946983232,Train
1766,2.356,2.37334077,Train
684,2.939,2.78464384,Train
396,2.115,2.108447843,Train
2779,2.63,2.192027654,Train
1887,2.389,2.354131813,Train
4340,2.286,1.996444529,Train
1109,2.033,2.161372353,Train
1281,2.104,2.261848796,Train
1765,2.289,2.236629625,Train
401,1.936,1.932974606,Train
4767,2.91,2.786756697,Train
4323,2.129,2.084602147,Train
2533,1.798,1.892493989,Train
4662,2.053,2.096736476,Train
3687,2.122,2.108844386,Train
1482,2.345,2.309055158,Train
1986,2.497,2.430489962,Train
775,1.846,1.816624528,Train
3932,1.085,1.832742298,Train
3469,3.152,3.192574232,Train
1437,2.38,2.553175963,Train
3457,2.12,2.155359456,Train
1343,3.188,3.106363473,Train
1778,0.518,1.586317543,Train
156,3.244,3.224893318,Train
3848,2.427,2.536107816,Train
5000,2.518,2.581749431,Train
4820,2.739,2.805873337,Train
1666,2.133,2.098020073,Train
22,2.317,2.335569165,Train
3836,2.428,2.445066491,Train
4096,2.739,2.755498173,Train
2692,2.269,2.146000121,Train
3617,2.77,2.75123925,Train
4723,2.664,2.500477183,Train
2306,1.864,1.904234067,Train
3726,1.924,1.851317633,Train
3701,2.443,2.6389541,Train
4740,3.222,3.007193374,Train
3583,2.849,3.033717547,Train
1749,2.398,2.45940501,Train
3245,1.742,1.660814448,Train
1431,2.806,2.800837853,Train
5017,2.516,2.549562845,Train
1367,2.717,2.540433477,Train
1941,2.612,2.686656108,Train
2928,1.975,1.946841771,Train
2137,2.251,2.459272947,Train
326,2.076,1.957296756,Train
252,2.811,2.781895139,Train
1452,2.182,2.179031499,Train
1180,2.995,2.874087828,Train
2162,2.251,2.099956529,Train
2812,2.233,2.314440106,Train
2947,1.8,1.763923416,Train
3520,2.914,2.847437841,Train
3528,2.002,2.041332121,Train
3700,2.468,2.50527268,Train
167,3.124,3.110120865,Train
1982,1.855,1.841926585,Train
844,2.037,1.984629879,Train
4193,2.003,1.89663278,Train
1540,1.953,1.890646515,Train
3011,1.965,2.082171574,Train
1474,2.15,2.185843383,Train
1569,2.054,2.118579888,Train
888,1.815,1.830881033,Train
2134,2.329,2.245111138,Train
4866,3.039,2.66065197,Train
4975,2.034,2.064323548,Train
4654,2.221,2.347921643,Train
4636,2.689,2.638145294,Train
1742,2.569,2.478558219,Train
3256,2.962,3.031998012,Train
4526,1.736,1.72713888,Train
3442,2.507,2.570842237,Train
581,2.566,2.689780482,Train
3696,2.291,2.282610995,Train
2378,2.679,2.584029492,Train
2959,2.835,2.826873029,Train
4840,2.358,2.472292565,Train
2453,2.864,2.735473078,Train
2938,2.084,2.025594018,Train
1525,1.909,1.906667845,Train
4722,2.242,2.198388,Train
2534,2.487,2.454396649,Train
3941,2.055,2.057278802,Train
3050,2.245,2.362077999,Train
2753,2.705,2.575847838,Train
3810,2.082,2.068872915,Train
4336,1.947,1.929441589,Train
2103,2.221,2.243351398,Train
2719,2.894,2.765945542,Train
980,1.776,1.825637296,Train
3602,2.717,2.658777023,Train
2071,2.868,2.779475778,Train
1564,2.856,2.766479064,Train
3736,2.928,2.947711671,Train
3960,3.119,3.108378805,Train
1853,3.009,2.929906939,Train
3063,2.83,2.873220307,Train
4936,2.181,2.168479919,Train
4364,2.319,2.308817385,Train
4437,1.989,2.125804221,Train
1177,2.774,2.80342397,Train
3323,1.797,1.980393245,Train
230,2.363,2.51281797,Train
3135,2.586,2.646612982,Train
283,2.479,2.391690531,Train
3081,2.201,2.093603838,Train
3229,2.16,2.267789283,Train
1328,1.811,1.889488604,Train
2033,2.546,2.427095434,Train
4059,2.782,2.825768963,Train
3629,2.126,1.921805747,Train
1259,2.36,2.407205731,Train
3698,2.588,2.5573942,Train
4613,2.517,2.345414183,Train
1031,2.682,2.661692825,Train
2500,2.277,2.184795517,Train
4822,2.505,2.451397477,Train
4048,1.94,2.036697326,Train
88,1.887,1.914336009,Train
2164,2.436,2.644938683,Train
2329,2.961,2.955527455,Train
2048,1.971,1.965913581,Train
1738,2.556,2.487579329,Train
4298,3.095,3.016170393,Train
648,2.26,2.04391741,Train
2323,2.704,2.627807138,Train
3873,2.862,2.612674148,Train
995,1.799,1.851959845,Train
3770,1.583,1.647370147,Train
4215,2.805,2.711451908,Train
4994,3.106,2.880182745,Train
1118,1.725,1.836020464,Train
2104,2.527,2.617885388,Train
2678,1.89,1.826992646,Train
2243,2.72,2.683967634,Train
4415,3.141,2.838093471,Train
667,3.045,2.991689622,Train
4861,2.004,1.902042378,Train
3644,1.908,1.840917581,Train
2359,2.808,2.827790949,Train
2749,2.584,2.249722239,Train
1299,2.776,2.87261558,Train
4217,2.853,2.896322939,Train
4960,2.658,2.737093177,Train
3703,2.643,2.656636791,Train
3171,2.695,2.65987242,Train
900,1.721,1.866692871,Train
4516,2.15,2.125916336,Train
3231,2.509,2.682795821,Train
4501,2.801,2.751083176,Train
3562,1.889,1.883771565,Train
4923,1.764,1.635872804,Train
3503,2.463,2.598916504,Train
4522,2.138,2.049208762,Train
2399,2.064,2.093034064,Train
